% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.112	0	0	12	3	3	28	9422	0	0	0
0.113	0	0	12	4	5	28	9422	0	0	0
0.114	0	0	12	5	7	28	9422	0	0	0
0.115	0	0	12	6	9	28	9422	0	0	0
0.116	0	0	12	7	12	28	9422	0	0	0
0.117	0	0	12	8	14	28	9422	0	0	0
0.118	0	0	12	9	17	28	9422	0	0	0
0.119	0	0	12	10	25	28	9422	0	0	0
0.12	0	0	13	1	37	28	9422	0	0	0
0.121	0	0	13	2	38	28	9422	0	0	0
0.122	0	0	13	3	48	28	9422	0	0	0
0.123	0	0	13	4	49	28	9422	0	0	0
0.124	0	0	13	5	57	28	9422	0	0	0
0.125	0	0	13	6	6	28	9422	0	0	0
0.126	0	0	13	7	20	28	9422	0	0	0
0.127	0	0	13	8	23	28	9422	0	0	0
0.128	0	0	13	9	26	28	9422	0	0	0
0.129	0	0	13	10	34	28	9422	0	0	0
0.13	0	0	14	1	35	28	9422	0	0	0
0.131	0	0	14	2	63	28	9422	0	0	0
0.132	0	0	14	3	64	28	9422	0	0	0
0.133	0	0	14	4	66	28	9422	0	0	0
0.134	0	0	14	5	1	28	9422	0	0	0
0.135	0	0	14	6	28	28	9422	0	0	0
0.136	0	0	14	7	18	28	9422	0	0	0
0.137	0	0	14	8	39	28	9422	0	0	0
0.138	0	0	14	9	43	28	9422	0	0	0
0.139	0	0	14	10	46	28	9422	0	0	0
0.14	0	0	15	1	56	28	9422	0	0	0
0.141	0	0	15	2	61	28	9422	0	0	0
0.142	0	0	15	3	68	28	9422	0	0	0
0.143	0	0	15	4	70	28	9422	0	0	0
0.144	0	0	15	5	71	28	9422	0	0	0
0.145	0	0	15	6	72	28	9422	0	0	0
0.146	0	0	15	7	3	28	9422	0	0	0
0.147	0	0	15	8	5	28	9422	0	0	0
0.148	0	0	15	9	7	28	9422	0	0	0
0.149	0	0	15	10	9	28	9422	0	0	0
0.15	0	0	16	1	12	28	9422	0	0	0
0.151	0	0	16	2	14	28	9422	0	0	0
0.152	0	0	16	3	17	28	9422	0	0	0
0.153	0	0	16	4	25	28	9422	0	0	0
0.154	0	0	16	5	37	28	9422	0	0	0
0.155	0	0	16	6	38	28	9422	0	0	0
0.156	0	0	16	7	48	28	9422	0	0	0
0.157	0	0	16	8	49	28	9422	0	0	0
0.158	0	0	16	9	57	28	9422	0	0	0
0.159	0	0	16	10	64	28	9422	0	0	0
0.16	0	0	17	1	68	28	9422	0	0	0
0.161	0	0	17	2	71	28	9422	0	0	0
