% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	5323.68	0
0.029	1	0	29	410.77	0
0.034	1	0	34	150.174	0
0.035	1	0	35	371.441	0
0.036	1	0	36	1287.6	0
0.037	1	0	37	167.28	0
0.038	1	0	38	306.945	0
0.039	1	0	39	236.483	0
0.04	1	0	40	208.927	0
0.041	1	0	41	5324.31	0
0.042	1	0	42	710.07	0
0.043	1	0	43	213.345	0
0.044	1	0	44	248.197	0
0.045	1	0	45	496.043	0
0.046	1	0	46	238.572	0
0.047	1	0	47	266.122	0
0.048	1	0	48	156.301	0
0.049	1	0	49	253.051	0
0.055	1	0	55	221.952	0
0.056	1	0	56	302.159	0
0.057	1	0	57	237.426	0
0.058	1	0	58	781.498	0
0.059	1	0	59	560.734	0
0.06	1	0	60	2121.34	0
0.061	1	0	61	145.017	0
0.062	1	0	62	181.66	0
0.063	1	0	63	545.734	0
0.064	1	0	64	319.558	0
0.065	1	0	65	521.045	0
0.066	1	0	66	134.794	0
0.067	1	0	67	217.877	0
0.068	1	0	68	1447.5	0
0.069	1	0	69	1215.11	0
0.07	1	0	70	134.985	0
0.071	1	0	71	159.402	0
0.072	1	0	72	151.395	0
0.321	1	0	1	256.202	0
0.322	1	0	2	157.758	0
0.323	1	0	3	182.023	0
0.324	1	0	4	163.355	0
0.325	1	0	5	172.364	0
0.326	1	0	6	250.239	0
0.327	1	0	7	5332.44	0
0.328	1	0	8	646.428	0
0.329	1	0	9	402.879	0
0.33	1	0	10	214.018	0
0.331	1	0	11	1883.46	0
0.332	1	0	12	295.403	0
0.333	1	0	13	201.245	0
0.334	1	0	14	188.673	0
0.335	1	0	15	1167.25	0
0.336	1	0	16	272.352	0
0.337	1	0	17	537.743	0
0.338	1	0	18	264.278	0
0.339	1	0	19	158.494	0
0.34	1	0	20	151.492	0
0.341	1	0	21	180.803	0
0.342	1	0	22	235.302	0
0.343	1	0	23	142.778	0
0.344	1	0	24	242.54	0
0.345	1	0	25	213.7	0
0.346	1	0	26	627.865	0
0.347	1	0	27	275.159	0
0.348	1	0	28	5323.68	0
0.349	1	0	29	410.721	0
0.354	1	0	34	150.444	0
0.355	1	0	35	372.579	0
0.356	1	0	36	1289.59	0
0.357	1	0	37	166.929	0
0.358	1	0	38	307.045	0
0.359	1	0	39	236.821	0
0.36	1	0	40	208.614	0
0.361	1	0	41	5324.31	0
0.362	1	0	42	707.841	0
0.363	1	0	43	213.414	0
0.364	1	0	44	248.768	0
0.365	1	0	45	495.86	0
0.366	1	0	46	238.802	0
0.367	1	0	47	265.427	0
0.368	1	0	48	156.354	0
0.369	1	0	49	252.48	0
0.375	1	0	55	222.176	0
0.376	1	0	56	302.106	0
0.377	1	0	57	237.102	0
0.378	1	0	58	781.215	0
0.379	1	0	59	558.866	0
0.38	1	0	60	2131.19	0
0.381	1	0	61	144.811	0
0.382	1	0	62	181.199	0
0.383	1	0	63	543.523	0
0.384	1	0	64	320.59	0
0.385	1	0	65	523.436	0
0.386	1	0	66	134.849	0
0.387	1	0	67	217.891	0
0.388	1	0	68	1438.3	0
0.389	1	0	69	1218.87	0
0.39	1	0	70	135.147	0
0.391	1	0	71	159.395	0
0.392	1	0	72	151.145	0
0.641	1	0	1	256.69	0
0.642	1	0	2	157.525	0
0.643	1	0	3	182.378	0
0.644	1	0	4	163.119	0
0.645	1	0	5	172.305	0
0.646	1	0	6	250.209	0
0.647	1	0	7	5333.12	0
0.648	1	0	8	648.855	0
0.649	1	0	9	403.81	0
0.65	1	0	10	214.278	0
0.651	1	0	11	1874.41	0
0.652	1	0	12	295.563	0
0.653	1	0	13	201.418	0
0.654	1	0	14	188.863	0
0.655	1	0	15	1160.12	0
0.656	1	0	16	271.958	0
0.657	1	0	17	538.703	0
0.658	1	0	18	264.624	0
0.659	1	0	19	158.402	0
0.66	1	0	20	151.493	0
0.661	1	0	21	181.139	0
0.662	1	0	22	234.844	0
0.663	1	0	23	142.742	0
0.664	1	0	24	242.723	0
0.665	1	0	25	214.251	0
0.666	1	0	26	629.787	0
0.667	1	0	27	275.373	0
0.668	1	0	28	5323.68	0
0.669	1	0	29	410.67	0
0.674	1	0	34	150.715	0
0.675	1	0	35	373.722	0
0.676	1	0	36	1291.57	0
0.677	1	0	37	166.578	0
0.678	1	0	38	307.145	0
0.679	1	0	39	237.159	0
0.68	1	0	40	208.302	0
0.681	1	0	41	5324.31	0
0.682	1	0	42	705.62	0
0.683	1	0	43	213.483	0
0.684	1	0	44	249.341	0
0.685	1	0	45	495.676	0
0.686	1	0	46	239.033	0
0.687	1	0	47	264.735	0
0.688	1	0	48	156.406	0
0.689	1	0	49	251.911	0
0.695	1	0	55	222.4	0
0.696	1	0	56	302.052	0
0.697	1	0	57	236.777	0
0.698	1	0	58	780.928	0
0.699	1	0	59	557.003	0
0.7	1	0	60	2141.02	0
0.701	1	0	61	144.605	0
0.702	1	0	62	180.74	0
0.703	1	0	63	541.323	0
0.704	1	0	64	321.627	0
0.705	1	0	65	525.843	0
0.706	1	0	66	134.903	0
0.707	1	0	67	217.904	0
0.708	1	0	68	1429.19	0
0.709	1	0	69	1222.61	0
0.71	1	0	70	135.309	0
