% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.12	0	0	13	1	3	0	349	0
0.121	0	0	13	2	5	0	349	0
0.122	0	0	13	3	7	0	349	0
0.123	0	0	13	4	9	0	349	0
0.124	0	0	13	5	12	0	349	0
0.125	0	0	13	6	14	0	349	0
0.126	0	0	13	7	17	0	349	0
0.127	0	0	13	8	25	0	349	0
0.128	0	0	13	9	37	24	6882	0
0.129	0	0	13	10	38	28	9422	0
0.13	0	0	14	1	48	24	6882	0
0.131	0	0	14	2	49	26	7708	0
0.132	0	0	14	3	57	26	7708	0
0.133	0	0	14	4	6	0	349	0
0.134	0	0	14	5	20	0	349	0
0.135	0	0	14	6	23	0	349	0
0.136	0	0	14	7	26	0	349	0
0.137	0	0	14	8	34	24	6882	0
0.138	0	0	14	9	35	28	9422	0
0.139	0	0	14	10	63	28	9422	0
0.14	0	0	15	1	64	28	9422	0
0.141	0	0	15	2	66	24	6882	0
0.142	0	0	15	3	1	0	349	0
0.143	0	0	15	4	28	28	9422	0
0.144	0	0	15	5	18	0	349	0
0.145	0	0	15	6	39	26	7708	0
0.146	0	0	15	7	43	26	7708	0
0.147	0	0	15	8	46	26	7708	0
0.148	0	0	15	9	56	28	9422	0
0.149	0	0	15	10	61	24	6882	0
0.15	0	0	16	1	68	28	9422	0
0.151	0	0	16	2	70	24	6882	0
0.152	0	0	16	3	71	24	6882	0
0.153	0	0	16	4	72	24	6882	0
0.154	0	0	16	5	3	0	349	0
0.155	0	0	16	6	5	0	349	0
0.156	0	0	16	7	7	0	349	0
0.157	0	0	16	8	9	0	349	0
0.158	0	0	16	9	12	0	349	0
0.159	0	0	16	10	14	0	349	0
0.16	0	0	17	1	17	0	349	0
0.161	0	0	17	2	25	0	349	0
0.162	0	0	17	3	37	24	6882	0
0.163	0	0	17	4	38	28	9422	0
0.164	0	0	17	5	48	24	6882	0
0.165	0	0	17	6	49	26	7708	0
0.166	0	0	17	7	57	26	7708	0
