timestamp,step,EEKPI_RL_2,EEKPI_RL_3,EEKPI_RL_4,EEKPI_RL_5,EEKPI_RL_6,EEKPI_RL_7,EEKPI_RL_8,ES_ON_COST_2,ES_ON_COST_3,ES_ON_COST_4,ES_ON_COST_5,ES_ON_COST_6,ES_ON_COST_7,ES_ON_COST_8,QosFlow.PdcpPduVolumeDL_Filter_2,QosFlow.PdcpPduVolumeDL_Filter_3,QosFlow.PdcpPduVolumeDL_Filter_4,QosFlow.PdcpPduVolumeDL_Filter_5,QosFlow.PdcpPduVolumeDL_Filter_6,QosFlow.PdcpPduVolumeDL_Filter_7,QosFlow.PdcpPduVolumeDL_Filter_8,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_2,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_3,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_4,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_5,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_6,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_7,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_8,RLF_Counter_2,RLF_Counter_3,RLF_Counter_4,RLF_Counter_5,RLF_Counter_6,RLF_Counter_7,RLF_Counter_8,RLF_VALUE_2,RLF_VALUE_3,RLF_VALUE_4,RLF_VALUE_5,RLF_VALUE_6,RLF_VALUE_7,RLF_VALUE_8,RRU_PRBTOTDL_2,RRU_PRBTOTDL_3,RRU_PRBTOTDL_4,RRU_PRBTOTDL_5,RRU_PRBTOTDL_6,RRU_PRBTOTDL_7,RRU_PRBTOTDL_8,RRU.PrbUsedDl_2,RRU.PrbUsedDl_3,RRU.PrbUsedDl_4,RRU.PrbUsedDl_5,RRU.PrbUsedDl_6,RRU.PrbUsedDl_7,RRU.PrbUsedDl_8,TB_TOTNBRDLINITIAL_64QAM_RATIO_2,TB_TOTNBRDLINITIAL_64QAM_RATIO_3,TB_TOTNBRDLINITIAL_64QAM_RATIO_4,TB_TOTNBRDLINITIAL_64QAM_RATIO_5,TB_TOTNBRDLINITIAL_64QAM_RATIO_6,TB_TOTNBRDLINITIAL_64QAM_RATIO_7,TB_TOTNBRDLINITIAL_64QAM_RATIO_8,SUM_QosFlow.PdcpPduVolumeDL_Filter,SUM_RLF_VALUE,SUM_TB.TotNbrDl.1,SUM_ES_ON_COST,SUM_DRB.PdcpSduDelayDl.UEID (pdcpLatency),ZERO_COUNT,latency_cell_ms,latency_ue_ms,reward
1760709783100,0,297.25,246.2,42.0,844.2142857142857,384.8888888888889,475.0625,454.90909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.0,2462.0,84.0,11819.0,6928.0,7601.0,5004.0,33.074109,33.074109,33.074109,33.074109,33.074109,33.074109,33.074109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.25,0.2,0.0,0.7857142857142857,0.3333333333333333,0.4375,0.36363636363636365,36276.0,0.0,79.0,0.0,33.074109,0.0,33.074109,33.074109,18138.49636184801
1760709783200,1,929.8260869565217,0.0,917.1428571428571,0.0,449.3333333333333,935.375,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21386.0,0.0,6420.0,0.0,5392.0,7483.0,42.0,0.575343,0.575343,0.575343,0.575343,0.575343,0.575343,0.575343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.8695652173913043,1e-05,0.8571428571428571,1e-05,0.4166666666666667,0.875,0.0,40723.0,0.0,51.00002,0.0,0.575343,0.0,0.575343,0.575343,20361.99993671227
1760709783300,2,917.1428571428571,0.0,0.0,917.1428571428571,858.8,1037.5,972.2380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6420.0,0.0,0.0,6420.0,4294.0,41500.0,40834.0,1.197293,1.197293,1.197293,1.197293,1.197293,1.197293,1.197293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.8571428571428571,1e-05,1e-05,0.8571428571428571,0.8,0.975,0.8809523809523809,99468.0,0.0,101.00002,0.0,1.197293,0.0,1.197293,1.197293,49734.49986829777
1760709783400,3,618.6136363636364,0.0,302.09090909090907,523.0714285714286,1030.5698924731182,1063.0,699.2571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27219.0,0.0,16615.0,7323.0,95843.0,10630.0,24474.0,2.242588,2.242588,2.242588,2.242588,2.242588,2.242588,2.242588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.6818181818181818,1e-05,0.07272727272727272,0.42857142857142855,0.967741935483871,1.0,0.8,182104.0,0.0,251.00001,0.0,2.242588,0.0,2.242588,2.242588,91052.49975331532
1760709783500,4,967.2352941176471,823.4313725490196,986.2650602409639,963.2222222222222,1051.1279069767443,988.8225806451613,619.9230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131544.0,41995.0,81860.0,8669.0,90397.0,61307.0,16118.0,4.022194,4.022194,4.022194,4.022194,4.022194,4.022194,4.022194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,0.7194244604316548,7.194244604316547e-06,1.4388489208633095,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1.0,1e-05,2.0,1e-05,1e-05,0.9338235294117647,0.9803921568627451,0.927710843373494,0.8888888888888888,0.9883720930232558,0.9193548387096774,0.46153846153846156,431890.0,0.0,453.0,0.0,4.022194,0.0,4.022194,4.022194,215945.49955755865
1760709783600,5,393.1938775510204,991.5384615384615,1016.3846153846154,807.75,846.9715639810427,1041.547263681592,970.1818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38533.0,12890.0,79278.0,6462.0,178711.0,209351.0,42688.0,6.744546,6.744546,6.744546,6.744546,6.744546,6.744546,6.744546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,0.7194244604316548,7.194244604316547e-06,1.4388489208633095,2.158273381294964,7.194244604316547e-06,1e-05,1e-05,1.0,1e-05,2.0,3.0,1e-05,0.20408163265306123,0.9230769230769231,0.9743589743589743,0.75,0.943127962085308,1.0,0.9090909090909091,567913.0,0.0,653.0,0.0,6.744546,0.0,6.744546,6.744546,283956.99925809994
1760709783700,6,1014.8461538461538,636.8235294117648,1063.0,0.0,1044.2242424242424,1055.5388349514562,921.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105544.0,32478.0,20197.0,0.0,172297.0,217441.0,47005.0,5.419749,5.419749,5.419749,5.419749,5.419749,5.419749,5.419749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,2.158273381294964,2.877697841726619,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,3.0,4.0,1e-05,0.9423076923076923,0.8431372549019608,1.0,1e-05,0.9878787878787879,1.0,0.8431372549019608,594962.0,0.0,596.00001,0.0,5.419749000000001,0.0,5.419749000000001,5.419749000000001,297481.4994038276
1760709783800,7,789.5,904.1891891891892,917.1428571428571,845.1428571428571,1044.3565217391304,725.4666666666667,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192638.0,33455.0,6420.0,5916.0,240202.0,119702.0,9567.0,7.839429,7.839429,7.839429,7.839429,7.839429,7.839429,7.839429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194244604316548,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,2.877697841726619,2.158273381294964,7.194244604316547e-06,1.0,1e-05,1e-05,1e-05,4.0,3.0,1e-05,0.8647540983606558,0.8918918918918919,0.8571428571428571,0.8571428571428571,0.9956521739130435,0.8484848484848485,1.0,607900.0,0.0,699.0,0.0,7.839429000000001,0.0,7.839429000000001,7.839429000000001,303950.4991376628
1760709783900,8,1036.7733990147783,911.1764705882352,42.0,1084.6666666666667,1026.4222222222222,809.5833333333334,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210465.0,15490.0,378.0,55318.0,277134.0,136010.0,14958.0,8.938068,8.938068,8.938068,8.938068,8.938068,8.938068,8.938068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194244604316548,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,3.597122302158273,0.7194244604316548,7.194244604316547e-06,1.0,1e-05,1e-05,1e-05,5.0,1.0,1e-05,0.9802955665024631,0.9411764705882353,0.0,0.9803921568627451,0.9592592592592593,0.9345238095238095,0.8333333333333334,709753.0,0.0,736.0,0.0,8.938068,0.0,8.938068,8.938068,354876.99901681254
1760709784000,9,872.8773006134969,884.7375,0.0,639.8461538461538,1053.0094339622642,842.7590759075907,1017.5714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142279.0,70779.0,0.0,8318.0,334857.0,255356.0,49861.0,16.339062,16.339062,16.339062,16.339062,16.339062,16.339062,16.339062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194244604316548,0.7194244604316548,7.194244604316547e-06,7.194244604316547e-06,4.316546762589928,2.877697841726619,7.194244604316547e-06,1.0,1.0,1e-05,1e-05,6.0,4.0,1e-05,0.7914110429447853,0.9125,1e-05,0.6923076923076923,0.9968553459119497,0.8679867986798679,0.9591836734693877,861450.0,0.0,926.00001,0.0,16.339062,0.0,16.339062,16.339062,430725.4982027032
