timestamp,step,throughput,en_cons,rlf,on_cost,latency_cell_ms,latency_ue_ms,reward
1760709783100,0,0.36276,79.0,0.0,0.0,33.074109,33.074109,18138.49636184801
1760709783200,1,0.40723,51.00002,0.0,0.0,0.575343,0.575343,20361.99993671227
1760709783300,2,0.99468,101.00002,0.0,0.0,1.197293,1.197293,49734.49986829777
1760709783400,3,1.82104,251.00001,0.0,0.0,2.242588,2.242588,91052.49975331532
1760709783500,4,4.3189,453.0,0.0,0.0,4.022194,4.022194,215945.49955755865
1760709783600,5,5.67913,653.0,0.0,0.0,6.744546,6.744546,283956.99925809994
1760709783700,6,5.94962,596.00001,0.0,0.0,5.419749000000001,5.419749000000001,297481.4994038276
1760709783800,7,6.079,699.0,0.0,0.0,7.839429000000001,7.839429000000001,303950.4991376628
1760709783900,8,7.09753,736.0,0.0,0.0,8.938068,8.938068,354876.99901681254
1760709784000,9,8.6145,926.00001,0.0,0.0,16.339062,16.339062,430725.4982027032
1760709784100,10,11.0286,1170.0,0.0,0.0,13.21629,13.21629,551430.4985462081
1760709784200,11,11.78346,1218.0,0.0,0.0,14.328061000000002,14.328061000000002,589173.4984239133
1760709784300,12,10.62279,1183.0,0.0,0.0,17.962031999999997,17.962031999999997,531139.9980241765
1760709784400,13,14.71666,1727.0,0.0,0.0,19.575817,19.575817,735833.4978466601
1760709784500,14,12.8751,1440.00001,0.0,0.0,22.893846999999997,22.893846999999997,643755.4974816769
1760709784600,15,15.2421,1676.0,0.0,0.0,19.913443,19.913443,762105.4978095213
1760709784700,16,14.68748,1428.0,0.0,0.0,23.166059999999998,23.166059999999998,734374.4974517334
1760709784800,17,14.84743,1510.0,0.0,0.0,23.712752,23.712752,742371.9973915973
1760709784900,18,14.73549,1542.0,0.0,0.0,19.332041,19.332041,736774.9978734755
1760709785000,19,13.71902,1430.0,0.0,0.0,19.383045,19.383045,685951.497867865
1760709785100,20,13.86259,1429.0,0.0,0.0,17.114615,17.114615,693129.9981173923
1760709785200,21,12.17359,1286.0,0.0,0.0,18.96164,18.96164,608679.9979142196
1760713534622,0,0.31317,94.0,3.0,0.9,24.156844285714282,24.156844285714282,15640.747342747129
1760713534722,1,0.19107,37.0,4.0,1.8,0.5524278571428571,0.5524278571428571,9539.359939232936
